id,name,brand
43, 100 2.8 V6,Audi
44, 100 2.8 V6 Avant, Audi
45,100 S-4 2.2 Avant Turbo,Audi
46,80 2.0,Audi
47,80 2.0 Avant,Audi
48,80 2.6/ 2.8,Audi
49,80 2.6/2.8 Avant,Audi
50,80 2.8 Cabriolet,Audi
51,80 S2 Avant,Audi
5496,A1 1.4 TFSI 122cv S-tronic 3p,Audi
6293,A1 2.0 TFSI Quattro 256cv 3p,Audi
6143,A1 Sport 1.4 TFSI 185cv 3p S-tronic,Audi
7727,A1 Sport. S Edition 1.4 TFSI 5p S-tronic,Audi
6201,A1 Sportback 1.4 TFSI 185cv 5p S-tronic,Audi
6200,A1 Sportback 1.4 TFSI 5p S-tronic,Audi
7418,A1 Sportback 1.8 TFSI 192cv 5p S-tronic,Audi
52,A3 1.6 3p,Audi
53,A3 1.6 3p Aut.,Audi
54,A3 1.6 5p,Audi
55,A3 1.6 5p Aut.,Audi
4154,A3 1.6 8V 102cv 3p,Audi
56,A3 1.8 3p,Audi
57,A3 1.8 3p Aut.,Audi
58,A3 1.8 5p Aut.,Audi
59,A3 1.8 5p Mec.,Audi
60,A3 1.8 Turbo 180cv 3p Aut./ Tip.,Audi
61,A3 1.8 Turbo 180cv 3p Mec.,Audi
62,A3 1.8 Turbo 180cv 5p Aut./ Tip.,Audi
63,A3 1.8 Turbo 180cv 5p Mec.,Audi
64,A3 1.8 Turbo 3p Aut.,Audi
65,A3 1.8 Turbo 3p Mec.,Audi
66,A3 1.8 Turbo 5p Aut.,Audi
67,A3 1.8 Turbo 5p Mec.,Audi
6950,A3 Cabriolet 1.8 16V TFSI 180cv S-tronic,Audi
8227,A3 Cabriolet Ambition 2.0 TFSI S-tronic,Audi
8559,A3 Cabriolet Perfor. 2.0 TFSI S-tronic,Audi
7419,A3 Sed. Ambition 2.0 TSFI 220cv S-tronic,Audi
8945,A3 Sed. P. Plus Tech 1.4 Flex TFSI Tip.,Audi
8768,A3 Sed. P.Plus 1.4 25Anos Flex TFSI Tip.,Audi
8983,A3 Sed. Perform. Black 2.0 TFSI S-tronic,Audi
6689,A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic,Audi
7391,A3 Sedan 1.4 TFSI Flex Tiptronic 4p,Audi
6768,A3 Sedan 1.4/ Attra. 16V TB FSI S-tronic,Audi
8560,A3 Sedan Performance 2.0 TFSI S-tronic,Audi
8561,A3 Sedan Prestige 1.4 TFSI Flex Tip.,Audi
8562,A3 Sedan Prestige Plus 1.4 TFSI Flex Tip,Audi
6461,A3 Sport 1.8 16V TFSI S-tronic 3p,Audi
5125,A3 Sport 2.0 16V TFSI S- tronic,Audi
8563,A3 Sportb. Prestige Plus 1.4 TFSI S-tron,Audi
6510,A3 Sportback 1.4 TFSI S-tronic,Audi
4155,A3 Sportback 1.6 8V 102cv 5p,Audi
6511,A3 Sportback 1.8 16V TFSI S-tronic 5p,Audi
4156,A3 Sportback 2.0 16V TFSI Mec.,Audi
4157,A3 Sportback 2.0 16V TFSI S-tronic,Audi
68,A4 1.8  Aut.,Audi
69,A4 1.8  Mec.,Audi
70,A4 1.8 Avant Aut.,Audi
71,A4 1.8 Avant Mec.,Audi
72,A4 1.8 Avant Turbo Mec.,Audi
73,A4 1.8 Avant Turbo Tip./ Multitronic,Audi
74,A4 1.8 Tip./ Multitronic Turbo,Audi
75,A4 1.8 Turbo,Audi
4843,A4 2.0 16V TFSI 183/180cv Multitronic,Audi
4182,A4 2.0 16V TFSI 200/ 214cv Multitronic,Audi
6144,A4 2.0 16V TFSI Quattro Stronic,Audi
76,A4 2.0 20V 130cv Multitronic 4p,Audi
6145,A4 2.0 Avant 16V TFSI Quattro Stronic,Audi
7750,A4 2.0 Avant Ambie. 2.0 16V TFSi S tron.,Audi
4844,A4 2.0 Avant TFSI 183/180cv Multitroni,Audi
